date,id,deptime,arrtime,price,direction
2023-08-27,2,14:20,15:25,98700,go
2023-08-27,3,14:50,15:50,87700,go
2023-08-27,3,14:50,15:50,90100,go
2023-08-27,2,15:40,16:40,84940,go
2023-08-27,5,15:40,16:40,90700,go
2023-08-27,2,15:40,16:40,98700,go
2023-08-27,1,16:00,17:05,100700,go
2023-08-27,5,16:40,17:40,90700,go
2023-08-27,2,16:40,17:40,93540,go
2023-08-27,2,16:40,17:40,98700,go
2023-08-27,1,17:20,18:25,100700,go
2023-08-27,3,18:20,19:20,87700,go
2023-08-27,3,18:20,19:20,90100,go
2023-08-27,2,19:00,20:00,73760,go
2023-08-27,5,19:00,20:00,90700,go
2023-08-27,2,19:00,20:00,98700,go
2023-08-27,1,19:25,20:35,100700,go
2023-08-27,4,19:40,20:40,67800,go
2023-08-27,4,19:40,20:40,90700,go
2023-08-27,0,19:45,20:45,70600,go
2023-08-27,0,19:45,20:45,90700,go
2023-08-27,4,20:05,21:05,67800,go
2023-08-27,4,20:05,21:05,90700,go
2023-08-27,2,20:20,21:35,72040,go
2023-08-27,5,20:20,21:35,90700,go
2023-08-27,2,20:20,21:35,98700,go
2023-08-28,0,06:20,07:20,52600,go
2023-08-28,0,06:20,07:20,78700,go
2023-08-28,1,07:00,08:05,62700,go
2023-08-28,1,07:00,08:05,88700,go
2023-08-28,2,07:20,08:25,66160,go
2023-08-28,2,07:20,08:25,78700,go
2023-08-28,5,07:20,08:25,80700,go
2023-08-28,1,08:05,09:10,73700,go
2023-08-28,1,08:05,09:10,88700,go
2023-08-28,3,08:30,09:30,75700,go
2023-08-28,3,08:30,09:30,77100,go
2023-08-28,2,08:40,09:40,71440,go
2023-08-28,2,08:40,09:40,78700,go
2023-08-28,5,08:40,09:40,80700,go
2023-08-28,1,09:00,10:05,73700,go
2023-08-28,1,09:00,10:05,88700,go
2023-08-28,2,09:40,10:40,72760,go
2023-08-28,2,09:40,10:40,78700,go
2023-08-28,5,09:40,10:40,80700,go
2023-08-28,1,10:25,11:30,81700,go
2023-08-28,1,10:25,11:30,88700,go
2023-08-28,2,11:00,12:00,72760,go
2023-08-28,2,11:00,12:00,78700,go
2023-08-28,5,11:00,12:00,80700,go
2023-08-28,3,11:40,12:40,75700,go
2023-08-28,3,11:40,12:40,77100,go
2023-08-28,2,12:00,13:05,72760,go
2023-08-28,2,12:00,13:05,78700,go
2023-08-28,5,12:00,13:05,80700,go
2023-08-28,1,12:25,13:30,81700,go
2023-08-28,1,12:25,13:30,88700,go
2023-08-28,2,12:50,13:50,74740,go
2023-08-28,2,12:50,13:50,78700,go
2023-08-28,5,12:50,13:50,80700,go
2023-08-28,1,14:00,15:05,73700,go
2023-08-28,1,14:00,15:05,88700,go
2023-08-28,2,14:20,15:25,72760,go
2023-08-28,2,14:20,15:25,78700,go
2023-08-28,5,14:20,15:25,80700,go
2023-08-28,3,14:50,15:50,75700,go
2023-08-28,3,14:50,15:50,77100,go
2023-08-28,2,15:40,16:40,71440,go
