date,name,saled_price,capacity,type
2023-08-17,더 뉴 그랜드 스타렉스,166200,9,디젤
2023-08-17,더 뉴 싼타페 2WD,170400,5,디젤
2023-08-17,스타리아,174000,1,디젤
2023-08-17,더 뉴 카니발,187200,9,디젤
2023-08-17,카니발 KA4,187200,9,디젤
2023-08-17,EV6 4WD,189000,4,전기차
2023-08-17,K8 2.5,198000,4,가솔린
2023-08-17,더 뉴 그랜저 2.4,208200,4,하이브리드
2023-08-17,더 뉴 그랜저 3.3,214800,4,가솔린
2023-08-17,팰리세이드 2WD,224400,7,디젤
2023-08-17,All New G80 2.5,276600,4,가솔린
2023-08-17,G90 3.8,331800,4,가솔린
2023-08-17,ALL NEW K3,72600,4,가솔린
2023-08-17,THE ALL NEW NIRO,124800,4,하이브리드
2023-08-17,니로,93600,4,전기차
2023-08-17,쏘렌토 MQ4,170400,5,하이브리드
2023-08-17,GV80 4WD,312000,5,디젤
2023-08-18,캐스퍼,75600,4,가솔린
2023-08-18,더 뉴 K3,76200,4,가솔린
2023-08-18,아반떼 AD ,76200,4,가솔린
2023-08-18,올 뉴 아반떼,76200,4,가솔린
2023-08-18,INTERACTIVE K5,117600,4,가솔린
2023-08-18,볼트,68600,4,전기차
2023-08-18,쏘나타 DN8,117600,4,가솔린
2023-08-18,INTERACTIVE K5,121800,4,하이브리드
2023-08-18,THE ALL NEW NIRO,124800,4,하이브리드
2023-08-18,EV6 2WD,138600,4,전기차
2023-08-18,스포티지 NQ5 2WD,151200,4,하이브리드
2023-08-18,스포티지 NQ5 2WD 1.6T,151200,4,가솔린
2023-08-18,더 뉴 그랜드 스타렉스,166200,9,디젤
2023-08-18,더 뉴 싼타페 2WD,170400,5,디젤
2023-08-18,스타리아,174000,1,디젤
2023-08-18,더 뉴 카니발,187200,9,디젤
2023-08-18,카니발 KA4,187200,9,디젤
2023-08-18,EV6 4WD,189000,4,전기차
2023-08-18,K8 2.5,198000,4,가솔린
